beerName,upc,quantityOnHand,price,categories
Crisp Comet #00001,010000000001,379,7.12,Pale Ale;Porter
Crisp Cloud #00002,010000000002,44,10.13,IPA
Crisp Monk #00003,010000000003,119,11.83,Saison
Golden Cloud #00004,010000000004,214,6.00,Amber;IPA;Kölsch
Dark Oak #00005,010000000005,174,7.18,Tripel;Wheat
Crisp Fox #00006,010000000006,194,3.47,Amber;Dubbel
Hoppy Wolf #00007,010000000007,274,4.04,Brown Ale;Pilsner;Saison
Dry River #00008,010000000008,295,5.42,Lager
Golden Rocket #00009,010000000009,40,6.25,Bock
Wild Wolf #00010,010000000010,325,8.96,Barleywine;Dubbel
Golden Rocket #00011,010000000011,359,2.95,Pale Ale;Saison
Dark Wolf #00012,010000000012,194,7.01,Lager;Tripel
Golden Comet #00013,010000000013,412,7.95,Amber;Pilsner;Wheat
Dry River #00014,010000000014,108,11.71,Amber;Gose;Porter
Dark Monk #00015,010000000015,381,12.98,Hefeweizen;Kölsch
Dry Oak #00016,010000000016,185,5.98,NEIPA;Session IPA
Crisp Comet #00017,010000000017,440,3.73,Hefeweizen;Sour
Dry Fox #00018,010000000018,197,9.30,Amber;NEIPA;Saison
Hoppy Fox #00019,010000000019,349,12.48,Stout;Tripel
Wild Oak #00020,010000000020,80,10.78,Amber
Juicy Harbor #00021,010000000021,259,3.66,NEIPA;Wheat
Dark River #00022,010000000022,390,4.79,Barleywine
Smooth Wolf #00023,010000000023,9,3.78,Brown Ale;Pale Ale
Hoppy Monk #00024,010000000024,449,3.10,Session IPA
Crisp Cloud #00025,010000000025,392,4.06,Saison;Session IPA
Dark Rocket #00026,010000000026,270,10.15,Saison;Wheat
Wild Oak #00027,010000000027,343,9.13,Gose;NEIPA;Stout
Golden Monk #00028,010000000028,32,8.41,Kölsch
Juicy Monk #00029,010000000029,301,6.00,Pilsner
Hoppy Monk #00030,010000000030,34,2.13,NEIPA;Pilsner
Golden Rocket #00031,010000000031,342,11.43,Porter;Saison
Dry Forge #00032,010000000032,242,6.46,Hefeweizen;Stout;Wheat
Crisp Oak #00033,010000000033,181,10.16,Gose;Lager;Stout
Hoppy Oak #00034,010000000034,372,8.43,Pale Ale
Golden Monk #00035,010000000035,274,10.67,Hefeweizen;Sour
Wild Wolf #00036,010000000036,127,3.03,Lager;Saison;Stout
Juicy Comet #00037,010000000037,496,3.40,Hefeweizen;Sour
